Id,TicketType,TicketPrice,ClientId,ZooId
503,Full,15,5762,7
504,Junior,5,18925,0
505,Junior,15,24359,3
506,Full,10,24194,3
507,Senior,5,10718,2
508,Senior,15,4313,6
509,Senior,10,9582,6
510,Junior,10,10947,2
511,Full,15,28406,4
512,Junior,15,10501,8
513,Junior,5,9843,6
514,Senior,5,20526,6
515,Junior,5,5229,6
516,Full,5,11148,9
517,Junior,15,11079,1
518,Junior,10,26939,4
519,Senior,15,3347,2
520,Senior,5,22481,3
521,Senior,15,18915,5
522,Senior,10,9317,8
523,Junior,5,29427,2
524,Senior,5,23986,8
525,Senior,15,14702,4
526,Full,5,1554,7
527,Full,15,18193,0
528,Senior,5,426,9
529,Full,5,12017,7
530,Senior,5,26559,8
531,Full,10,2761,7
532,Full,15,6214,8
533,Full,10,6526,7
534,Senior,5,4765,8
535,Senior,10,8873,5
536,Full,10,21555,8
537,Junior,5,14177,0
538,Junior,15,8574,7
539,Full,10,3093,0
540,Junior,5,20186,9
541,Senior,15,9992,0
542,Senior,10,9824,9
543,Full,10,23386,1
544,Full,15,28244,6
545,Junior,5,29745,8
546,Senior,15,25732,7
547,Junior,10,4235,5
548,Senior,10,3970,2
549,Junior,15,25047,0
550,Junior,5,26544,9
551,Senior,10,6743,7
552,Junior,15,21059,5
553,Senior,5,6799,7
554,Junior,10,20011,6
555,Senior,10,12141,2
556,Full,10,5394,0
557,Junior,5,19055,4
558,Senior,10,23448,2
559,Full,5,25983,3
560,Full,15,9625,5
561,Full,10,27239,3
562,Junior,5,16746,5
563,Full,5,21853,9
564,Full,10,21784,5
565,Junior,15,7453,3
566,Junior,5,26486,1
567,Junior,5,21219,5
568,Junior,15,4557,6
569,Senior,15,18872,1
570,Senior,10,6550,6
571,Senior,5,26538,8
572,Senior,10,26358,6
573,Senior,5,5302,0
574,Junior,5,11007,7
575,Junior,15,17269,8
576,Full,15,2027,4
577,Junior,5,17176,3
578,Senior,5,17605,5
579,Full,10,2326,6
580,Full,5,2428,9
581,Senior,5,898,9
582,Senior,15,13649,6
583,Full,10,16720,6
584,Junior,15,815,9
585,Junior,5,11260,8
586,Senior,5,20105,6
587,Senior,5,15088,3
588,Junior,5,26007,2
589,Junior,5,8246,7
590,Senior,10,10811,0
591,Full,5,10455,8
592,Full,10,13338,0
593,Junior,10,9590,2
594,Full,15,10317,3
595,Senior,10,27489,2
596,Junior,5,23105,8
597,Junior,15,20149,0
598,Junior,10,7325,7
599,Junior,15,16345,6
600,Full,10,4072,2
601,Junior,10,9417,3
602,Junior,5,6782,5
603,Junior,5,1249,6
604,Senior,15,10630,1
605,Senior,5,10867,6
606,Full,10,14403,6
607,Junior,10,15628,3
608,Senior,15,26420,5
609,Junior,15,25949,6
610,Junior,5,4857,8
611,Full,10,10808,1
612,Junior,10,5818,2
613,Full,15,24600,3
614,Full,15,13100,2
615,Full,10,17139,5
616,Senior,5,16361,9
617,Full,10,12320,6
618,Senior,10,28222,5
619,Full,10,2144,7
620,Senior,15,5130,2
621,Junior,10,25802,3
622,Junior,15,28071,1
623,Senior,10,20610,3
624,Senior,15,26304,9
625,Full,5,12913,1
626,Junior,5,28289,3
627,Senior,5,10221,7
628,Full,15,14376,9
629,Junior,15,25400,5
630,Junior,5,28303,6
631,Full,5,2028,1
632,Junior,15,6348,6
633,Senior,15,23350,3
634,Full,10,11657,6
635,Junior,15,10645,6
636,Junior,15,26555,6
637,Junior,15,10340,4
638,Senior,10,14611,5
639,Junior,5,7464,7
640,Junior,5,20721,0
641,Junior,5,4334,2
642,Junior,10,2258,5
643,Full,15,28008,2
644,Senior,10,6925,4
645,Full,15,19171,6
646,Senior,15,25354,5
647,Senior,15,3228,8
648,Junior,10,307,2
649,Senior,5,9123,3
650,Full,15,27536,7
651,Junior,10,18882,1
652,Full,5,18578,9
653,Full,5,27977,4
654,Full,10,9809,4
655,Full,5,21455,4
656,Junior,15,13792,3
657,Full,10,1225,2
658,Full,5,23997,8
659,Senior,10,28701,6
660,Full,5,29990,4
661,Senior,5,23435,7
662,Full,10,13433,1
663,Junior,5,25010,5
664,Full,5,1586,3
665,Junior,5,19207,4
666,Junior,10,2360,8
667,Senior,15,17758,8
668,Full,10,3855,9
669,Full,15,19697,1
670,Full,10,8662,7
671,Senior,15,484,8
672,Senior,15,14560,7
673,Junior,5,27401,0
674,Senior,15,24243,5
675,Senior,5,22890,1
676,Junior,15,616,7
677,Senior,10,10587,3
678,Senior,15,3819,2
679,Senior,5,10019,3
680,Senior,15,1810,6
681,Senior,5,4398,1
682,Full,10,26586,0
683,Full,10,4973,9
684,Senior,10,2730,7
685,Full,15,22513,9
686,Senior,10,13697,9
687,Full,15,29608,5
688,Senior,5,20658,2
689,Full,15,21903,7
690,Senior,15,13920,7
691,Full,10,10410,9
692,Senior,5,7559,5
693,Junior,15,926,5
694,Senior,5,10018,1
695,Full,15,19707,9
696,Junior,15,11980,9
697,Full,5,27307,0
698,Senior,5,2182,6
699,Full,10,8750,8
700,Full,15,24675,4
701,Senior,10,25722,7
702,Junior,5,19995,5
703,Junior,10,28393,4
704,Senior,15,12853,9
705,Senior,5,19615,0
706,Senior,5,21631,1
707,Full,10,22082,4
708,Junior,15,4071,6
709,Senior,15,25900,7
710,Senior,15,11581,2
711,Senior,15,3187,3
712,Full,5,29231,3
713,Full,5,13767,4
714,Junior,15,22849,1
715,Senior,5,17927,8
716,Junior,5,23622,9
717,Full,15,3251,2
718,Junior,15,26105,9
719,Full,10,7958,5
720,Full,5,4034,2
721,Full,5,14439,2
722,Junior,10,12092,8
723,Junior,15,16332,6
724,Senior,5,16142,5
725,Junior,15,17189,0
726,Senior,10,21318,9
727,Full,10,11802,2
728,Senior,5,4754,6
729,Full,15,19856,1
730,Full,15,4670,7
731,Senior,15,20360,7
732,Junior,15,12472,7
733,Senior,15,5149,8
734,Senior,10,14536,3
735,Full,10,21170,5
736,Senior,10,4770,4
737,Junior,5,4758,1
738,Senior,15,27658,4
739,Junior,15,6178,4
740,Full,10,18854,6
741,Junior,5,9396,6
742,Full,10,16721,1
743,Senior,10,29330,3
744,Senior,10,2764,6
745,Senior,5,5939,6
746,Junior,10,15167,1
747,Senior,10,16668,7
748,Senior,15,21194,1
749,Full,5,19904,6
750,Full,15,22429,8
751,Senior,15,22543,3
752,Senior,5,23732,2
753,Junior,10,1990,7
754,Full,10,28574,5
755,Senior,5,11778,4
756,Full,5,27603,1
757,Junior,10,20179,2
758,Full,5,26408,4
759,Senior,5,29940,8
760,Senior,10,19150,6
761,Senior,10,14939,6
762,Senior,10,14617,3
763,Full,5,1671,7
764,Senior,5,14943,3
765,Junior,10,11622,4
766,Full,15,22747,6
767,Junior,15,1666,3
768,Junior,15,1269,0
769,Full,5,5288,0
770,Full,5,10791,7
771,Junior,15,4572,9
772,Full,10,15585,2
773,Junior,15,18544,2
774,Full,5,10681,6
775,Senior,5,9793,5
776,Senior,15,13636,4
777,Full,10,21953,1
778,Junior,10,17176,9
779,Junior,5,11341,3
780,Full,15,17043,4
781,Full,5,24664,0
782,Senior,15,17755,1
783,Full,15,22668,2
784,Full,5,18630,4
785,Full,10,3843,9
786,Senior,15,20332,6
787,Senior,5,4504,9
788,Full,10,10123,3
789,Junior,5,10515,3
790,Junior,5,8164,2
791,Full,15,17671,2
792,Senior,15,16277,3
793,Full,15,22135,5
794,Full,5,23139,2
795,Full,15,9249,7
796,Senior,10,23258,1
797,Senior,5,21171,2
798,Full,15,28610,4
799,Senior,10,1373,1
800,Junior,15,29379,6
801,Full,15,16096,1
802,Junior,5,11951,7
803,Senior,5,19275,9
804,Full,10,27275,0
805,Full,5,17751,4
806,Senior,10,1135,4
807,Full,5,22068,9
808,Junior,15,6600,3
809,Full,15,6793,5
810,Senior,5,85,7
811,Full,15,15807,5
812,Full,10,28098,6
813,Senior,15,21846,7
814,Senior,15,439,4
815,Junior,10,8064,3
816,Senior,5,19706,0
817,Junior,15,29369,4
818,Junior,10,11879,0
819,Full,15,15462,5
820,Junior,15,25590,0
821,Junior,5,28473,8
822,Junior,5,12849,6
823,Full,15,203,8
824,Junior,15,2294,7
825,Junior,10,17760,0
826,Junior,15,17583,4
827,Senior,15,7034,9
828,Senior,15,9730,3
829,Senior,5,25473,6
830,Full,5,7636,1
831,Senior,15,8536,9
832,Junior,15,25621,1
833,Full,15,13010,1
834,Junior,15,26296,8
835,Senior,10,13259,5
836,Full,5,13828,7
837,Senior,15,18036,1
838,Junior,15,25998,9
839,Senior,15,24974,2
840,Senior,5,6364,9
841,Junior,15,28039,8
842,Full,15,23818,4
843,Senior,10,17553,8
844,Senior,15,5142,3
845,Junior,10,15157,8
846,Full,15,2621,6
847,Senior,10,27170,6
848,Junior,10,27185,6
849,Full,10,21749,4
850,Senior,10,27429,0
851,Senior,5,27611,8
852,Senior,15,16199,7
853,Senior,10,29324,3
854,Junior,10,25691,5
855,Full,10,12682,5
856,Junior,5,29749,0
857,Full,10,26402,3
858,Junior,10,27541,6
859,Full,10,8246,0
860,Full,10,5,6
861,Senior,15,4572,9
862,Senior,5,16539,1
863,Junior,10,5865,9
864,Full,15,5168,3
865,Full,15,22685,0
866,Junior,10,25785,2
867,Senior,15,10650,6
868,Senior,10,23049,9
869,Senior,5,21679,3
870,Junior,10,25983,7
871,Senior,5,5738,1
872,Senior,5,24199,6
873,Full,15,9763,0
874,Senior,5,25741,2
875,Full,5,20774,4
876,Full,15,8826,9
877,Junior,15,15839,0
878,Full,15,6501,2
879,Full,10,10683,5
880,Junior,15,7174,9
881,Senior,15,223,7
882,Junior,10,15178,5
883,Junior,10,1479,9
884,Junior,10,4078,2
885,Full,5,10890,6
886,Senior,5,29457,9
887,Junior,5,18579,9
888,Full,10,4646,6
889,Junior,15,21759,0
890,Senior,15,6387,2
891,Full,10,22391,2
892,Senior,15,15753,6
893,Full,5,4131,2
894,Full,10,20798,5
895,Junior,10,24946,0
896,Full,15,26664,0
897,Senior,10,21401,5
898,Junior,5,25933,5
899,Full,15,9603,8
900,Full,15,4413,7
901,Senior,15,26175,6
902,Junior,15,22230,3
903,Full,10,5104,0
904,Senior,10,9821,8
905,Full,5,9310,8
906,Full,15,5402,8
907,Junior,5,23778,7
908,Senior,5,19997,9
909,Senior,15,24811,5
910,Senior,5,8037,2
911,Senior,15,24804,4
912,Full,5,22155,3
913,Junior,10,16071,1
914,Junior,15,9606,0
915,Senior,15,28585,9
916,Full,10,9544,1
917,Senior,15,29184,7
918,Full,15,16941,9
919,Senior,15,21913,0
920,Senior,5,2648,0
921,Full,10,23980,4
922,Full,5,11002,5
923,Full,5,16328,4
924,Full,5,16978,0
925,Full,10,18660,7
926,Full,10,23762,6
927,Senior,15,22574,1
928,Junior,10,1653,9
929,Full,10,12311,3
930,Senior,5,10994,9
931,Senior,5,14275,5
932,Senior,5,12914,6
933,Senior,15,19159,3
934,Full,15,2468,0
935,Junior,10,6983,5
936,Junior,15,28070,1
937,Junior,10,14274,5
938,Senior,10,28557,1
939,Full,15,7283,5
940,Junior,15,20454,9
941,Full,15,10349,1
942,Junior,10,16893,8
943,Junior,5,23434,7
944,Senior,10,19689,7
945,Senior,5,1547,9
946,Full,15,704,4
947,Junior,10,22024,2
948,Full,15,12007,8
949,Senior,10,21432,0
950,Full,5,16998,4
951,Full,10,24111,5
952,Full,5,25924,4
953,Junior,5,21642,1
954,Senior,10,5502,1
955,Full,10,11399,6
956,Junior,15,793,5
957,Junior,10,20619,1
958,Full,5,28446,8
959,Senior,5,11453,6
960,Senior,15,29387,4
961,Full,5,13033,4
962,Full,10,18771,4
963,Junior,10,13543,5
964,Full,10,29801,1
965,Senior,5,27719,2
966,Senior,5,13200,0
967,Senior,10,17569,5
968,Senior,15,767,2
969,Senior,15,14320,9
970,Junior,5,21115,9
971,Full,5,19396,5
972,Junior,5,28020,1
973,Junior,15,27715,0
974,Junior,15,20744,8
975,Senior,15,11727,0
976,Senior,15,3758,6
977,Junior,5,21734,5
978,Junior,5,2544,9
979,Junior,5,28255,1
980,Full,10,3687,9
981,Full,10,20714,6
982,Full,5,24686,3
983,Senior,5,9517,0
984,Full,5,8938,5
985,Full,15,12380,9
986,Senior,15,3488,2
987,Full,10,27223,3
988,Junior,10,18272,1
989,Junior,15,6096,0
990,Full,5,16285,3
991,Senior,15,9312,6
992,Senior,10,13186,3
993,Junior,10,28351,9
994,Junior,10,26061,8
995,Full,15,23026,6
996,Senior,5,20033,4
997,Full,15,1686,4
998,Junior,10,20973,6
999,Senior,5,14217,1
1000,Senior,15,5251,2
1001,Junior,15,15994,5
1002,Senior,5,7735,6
1003,Senior,10,25804,4
1004,Full,10,2359,0
1005,Full,5,10337,4
1006,Full,15,14541,1
1007,Full,15,26984,9
1008,Junior,10,4451,3
1009,Full,15,2113,1
1010,Senior,15,12288,5
1011,Junior,5,28672,5
1012,Senior,5,29008,3
1013,Senior,15,11043,4
1014,Senior,15,26264,8
1015,Junior,10,13164,7
1016,Junior,15,20326,6
1017,Full,5,12025,3
1018,Senior,10,14203,4
1019,Junior,5,14160,9
1020,Junior,15,2284,5
1021,Senior,15,4584,5
1022,Senior,10,25599,1
1023,Full,10,6417,3
1024,Full,5,22070,9
1025,Junior,5,4201,9
1026,Junior,10,26956,1
1027,Full,5,13501,7
1028,Junior,5,14461,0
1029,Senior,15,6216,1
1030,Junior,10,16748,3
1031,Senior,10,504,6
1032,Full,10,18334,8
1033,Junior,5,8172,3
1034,Junior,15,543,2
1035,Full,5,25866,0
1036,Junior,10,14235,7
1037,Senior,10,25729,7
1038,Junior,15,23480,7
1039,Full,5,7787,8
1040,Senior,5,28324,0
1041,Senior,15,14376,4
1042,Full,5,16031,8
1043,Senior,5,3995,6
1044,Full,15,11603,0
1045,Senior,15,25274,0
1046,Full,15,7938,9
1047,Junior,10,25776,6
1048,Full,15,14341,5
1049,Junior,5,19887,4
1050,Junior,5,21166,3
1051,Full,10,29879,3
1052,Senior,5,29423,5
1053,Senior,10,22128,3
1054,Full,15,3769,5
1055,Full,15,18800,9
1056,Full,10,3748,3
1057,Junior,10,16351,0
1058,Senior,15,28882,8
1059,Full,10,12351,4
1060,Full,15,6928,4
1061,Full,15,752,6
1062,Junior,15,157,7
1063,Full,10,13780,9
1064,Senior,5,8948,2
1065,Senior,5,18072,5
1066,Junior,15,6945,6
1067,Full,5,20060,7
1068,Senior,5,28442,9
1069,Full,15,26769,7
1070,Junior,15,5651,0
1071,Senior,10,25686,3
1072,Full,5,23043,9
1073,Full,10,14060,7
1074,Full,10,1045,3
1075,Junior,5,20057,8
1076,Senior,10,9500,1
1077,Junior,5,17880,2
1078,Senior,10,6509,6
1079,Senior,5,1034,2
1080,Full,15,4489,7
1081,Senior,10,20504,8
1082,Senior,5,1070,6
1083,Full,10,5381,3
1084,Senior,10,28710,1
1085,Full,15,27441,2
1086,Senior,10,7988,1
1087,Junior,15,21276,9
1088,Junior,15,19399,5
1089,Senior,5,10284,5
1090,Junior,15,2436,6
1091,Junior,10,14677,5
1092,Junior,15,19873,2
1093,Full,10,121,3
1094,Junior,15,16981,6
