Id,AnimalName,Spicies,Age,CageNumber,ZooId
113,Class dis sem,Maecenas tempor Nam,8,15,41
114,Nam,vel,16,20,10
115,mauris,hymenaeos,15,38,11
116,nonummy sociosqu inceptos,Phasellus eros,42,7,12
117,blandit Maecenas,vehicula netus metus,22,10,33
118,a felis Mauris,et,3,51,22
119,turpis aliquet augue,cubilia,24,35,17
120,leo,magna,30,41,45
121,molestie,litora,7,54,39
122,bibendum,conubia placerat magna,31,27,26
123,semper aliquet,rutrum Integer,31,51,36
124,eleifend lacus feugiat,Praesent,48,35,42
125,imperdiet In,faucibus sollicitudin augue,23,6,4
126,suscipit,pretium convallis nisl,41,20,28
127,adipiscing,consectetuer senectus arcu,35,23,15
128,Donec,est Aliquam eu,0,24,8
129,tempus eros,nulla,4,47,22
130,porta amet,Praesent aliquet,50,35,44
131,nascetur gravida,Phasellus,50,28,33
132,Maecenas dictum,condimentum dis,10,45,31
133,euismod,elementum orci faucibus,12,25,43
134,Praesent ornare,scelerisque,2,49,30
135,venenatis Vestibulum,tortor lacus,33,4,12
136,semper,arcu Praesent,15,44,22
137,Quisque ornare mollis,sollicitudin Curae,30,23,18
138,Nam Vivamus laoreet,vestibulum tempor,15,30,44
139,per nunc sed,Nunc,27,48,49
140,blandit vestibulum dis,sollicitudin per condimentum,20,51,42
141,volutpat,Mauris netus lobortis,13,16,11
142,Curabitur quam,natoque nascetur,12,6,26
143,mollis sit,ut mattis,40,58,7
144,imperdiet,sagittis nostra,33,50,5
145,fames,sociis,4,2,45
146,sodales,hymenaeos porta,40,43,49
147,aliquet vel,Aenean tempus,50,50,14
148,Aenean,iaculis egestas,22,41,36
149,magnis sed,primis,26,28,14
150,ipsum parturient Vestibulum,purus pretium,17,55,22
151,Vivamus ultricies erat,sapien Nunc,46,3,10
152,ridiculus sem mauris,euismod facilisi fermentum,41,54,32
153,habitant In est,aptent,44,5,49
154,habitant,enim nostra interdum,3,26,36
155,in,Cras ut,17,19,34
156,Fusce montes gravida,aliquet,8,37,6
157,Integer,diam commodo,45,50,18
158,vehicula,ridiculus ultricies,46,22,30
159,aliquam,sagittis aliquet in,21,4,38
160,sollicitudin nascetur hendrerit,volutpat,38,11,23
161,Praesent ridiculus eros,at molestie,23,45,41
162,sapien urna Quisque,venenatis netus blandit,30,25,3
163,venenatis Quisque,convallis,31,45,32
164,vulputate primis cubilia,lorem vehicula erat,17,22,28
165,arcu Etiam,vulputate facilisis,22,14,19
166,at tempus tincidunt,Nam senectus,45,45,43
167,arcu Vivamus,venenatis Quisque placerat,23,57,14
168,Nulla fermentum laoreet,vitae scelerisque,43,22,21
169,porttitor purus eleifend,parturient amet,45,17,1
170,Praesent,rutrum fringilla,3,9,12
171,Donec Etiam sollicitudin,Etiam elementum sodales,8,50,12
172,in placerat,dis posuere rhoncus,23,4,38
173,malesuada gravida,natoque,7,60,28
174,risus mus,Curae Lorem,10,53,4
175,penatibus,Maecenas,24,43,31
176,Sed facilisi Donec,adipiscing accumsan Curabitur,44,47,26
177,ante,Etiam gravida egestas,8,52,6
178,nisl nonummy,Aliquam cubilia,10,12,1
179,Class,volutpat Vivamus accumsan,47,36,14
180,dolor velit interdum,consectetuer lacinia lorem,46,49,11
181,tempus dolor,tortor,8,28,28
182,auctor enim Nam,porta Aliquam,2,8,38
183,velit magna,eros,24,29,38
184,Nullam tortor,eget molestie,47,4,25
185,neque,mus,23,1,43
186,ullamcorper,Nam,50,0,31
187,ipsum Class,sed,48,42,48
188,tristique,euismod congue convallis,47,46,7
189,ornare tempor,sociosqu semper,40,3,31
190,bibendum,semper,22,28,40
191,felis,ultricies sagittis ac,24,23,12
192,dignissim porttitor,aliquet,0,1,9
193,Morbi purus,Mauris mollis Fusce,30,56,27
194,Suspendisse placerat nec,Cras,27,51,23
195,nibh,pellentesque venenatis sociosqu,34,52,49
196,sed Suspendisse sodales,montes,40,49,18
197,litora posuere,ac,36,53,25
198,Ut facilisi ultricies,ullamcorper ante parturient,29,42,37
199,commodo,per nostra,27,2,49
200,taciti justo ultrices,vel enim,45,50,12
201,Donec Etiam,lacinia,14,47,15
202,ornare,Nam,0,3,16
203,taciti neque lorem,Curae quam,47,16,25
204,ipsum placerat,ante,48,60,38
205,non nibh tortor,hymenaeos,23,15,7
206,est,nunc lobortis,21,33,44
207,auctor magnis,lectus,15,28,42
208,Nullam,Vestibulum,27,11,33
209,pellentesque natoque elementum,facilisi,49,25,44
210,Fusce ac nisl,dapibus,1,6,20
211,inceptos,consectetuer sit,14,38,39
212,fringilla lacus metus,metus pulvinar,47,8,47
213,dapibus mollis gravida,enim vestibulum tortor,9,16,1
214,inceptos lobortis,ornare libero lacus,31,59,16
215,condimentum,aliquam purus montes,48,26,32
216,nulla netus nulla,malesuada nascetur,35,7,46
217,neque eleifend,hymenaeos conubia,20,32,33
218,Cras senectus,consectetuer ac,10,19,30
219,et faucibus velit,ante ultrices,36,58,27
220,ipsum neque purus,vulputate a risus,2,13,44
221,adipiscing,magna nulla,5,27,43
222,eu,convallis,10,27,0
223,fringilla taciti,Praesent magnis,0,10,1
224,volutpat sagittis,diam laoreet dictum,43,58,38
225,Morbi ac nulla,vulputate nulla sed,21,57,43
226,laoreet,congue,33,5,25
227,suscipit Aenean Mauris,Aliquam,4,3,1
228,urna,aliquet sem,50,31,37
229,commodo elit Sed,luctus fringilla convallis,46,43,32
230,pharetra lectus In,taciti torquent,1,21,41
231,lacinia,tincidunt Praesent,48,49,14
232,non consequat vestibulum,bibendum,32,44,36
233,cubilia iaculis scelerisque,mi,48,47,0
234,varius viverra,Suspendisse tincidunt sed,28,21,36
235,nostra,fermentum,13,3,41
236,Mauris,enim urna,27,2,21
237,Maecenas mi,arcu elementum dui,12,53,23
238,nunc mauris eros,vel,45,52,36
239,volutpat vitae,pulvinar volutpat,17,10,0
240,sed,nulla,19,27,0
241,porta lorem tempor,Aenean malesuada,3,19,12
242,ipsum,quis Nulla per,25,58,13
243,venenatis aptent Curabitur,suscipit at,11,49,40
244,ornare per,scelerisque,42,50,33
245,mauris quam,varius,30,47,24
246,at,molestie justo sodales,37,18,15
247,molestie feugiat Integer,massa sociosqu,37,55,9
248,primis gravida mauris,nascetur pharetra varius,46,42,26
249,rutrum,aliquam auctor,28,28,27
250,nisi suscipit,natoque orci,3,52,43
251,Vivamus,dictum,19,24,48
252,congue justo imperdiet,Vivamus,38,9,5
253,elit tincidunt,litora non mattis,16,47,36
254,libero laoreet,vel facilisi fermentum,14,30,15
255,vulputate,lacinia velit tincidunt,43,6,8
256,eros Aliquam,urna,30,36,24
257,nulla senectus,massa Cum eros,14,37,9
258,a cursus aptent,augue eros,31,19,20
259,at magnis,blandit nisl metus,41,6,39
260,Curae,suscipit lacus montes,34,45,9
261,amet,pharetra faucibus tempor,33,55,18
262,accumsan,ridiculus,2,25,45
263,ipsum Pellentesque auctor,augue laoreet,40,25,47
264,semper Nullam suscipit,Donec litora,48,38,1
265,Sed vitae vehicula,aliquam primis,5,22,41
266,malesuada nunc,auctor,8,53,42
267,libero tempus accumsan,nonummy,22,25,20
268,bibendum per,felis natoque ridiculus,30,1,9
269,Nullam erat,posuere imperdiet gravida,42,12,9
270,ante congue conubia,varius felis sagittis,17,37,10
271,est cubilia Nam,consequat est,31,14,35
272,dolor,orci nisi,40,6,15
273,Quisque,malesuada enim Class,29,57,33
274,diam iaculis nulla,convallis sed in,1,48,18
275,morbi fermentum,fermentum,12,29,20
276,Class,Phasellus varius,42,26,18
277,facilisis,Cras,41,13,39
278,accumsan vehicula,consectetuer Phasellus risus,34,35,29
279,gravida,primis vulputate vehicula,23,9,15
280,Morbi,diam,35,21,21
281,nibh,elementum per,9,29,18
282,morbi convallis aliquet,Fusce,22,49,34
283,blandit,mus,48,30,25
284,pede inceptos sit,adipiscing eros,44,29,33
285,tempor imperdiet Duis,id Cras,23,2,5
286,conubia,ad molestie Proin,12,36,37
287,lorem,Aenean et non,8,34,28
288,ad,nunc faucibus,38,41,43
289,bibendum blandit,imperdiet et tempus,49,52,15
290,mus,magna,37,22,49
291,consectetuer tortor risus,Lorem amet aptent,5,42,30
292,primis consequat,primis,17,9,11
293,mus faucibus nulla,placerat fames,15,32,5
294,diam montes sodales,id Morbi porttitor,23,45,42
295,vitae sit Lorem,bibendum placerat,13,27,43
296,torquent Donec at,ante Curae cursus,50,19,13
297,purus nec,eu facilisi cubilia,23,8,9
298,ipsum sodales,rhoncus luctus arcu,8,9,21
299,pharetra,vestibulum faucibus,43,23,28
300,fringilla Cras,pharetra,34,39,25
301,mus,nulla ligula,8,4,6
302,scelerisque,cursus habitant ullamcorper,2,39,25
303,vel,justo erat,5,12,10
304,litora,Etiam litora,15,11,35
305,fringilla torquent,libero vel magnis,43,33,17
306,ornare,lacus Sed tristique,19,53,3
307,volutpat,eleifend cursus sed,49,23,10
308,torquent Etiam,fames,9,32,45
309,facilisis Aliquam taciti,malesuada,3,58,16
310,taciti,sodales sodales,49,43,41
311,nostra vehicula rhoncus,Aliquam,34,13,35
312,hendrerit Nunc malesuada,magna felis,32,11,2
313,enim,eu,47,45,0
314,parturient nascetur,tortor,48,21,29
315,Cras fames,eget molestie,4,11,15
316,elementum lorem eget,arcu sagittis,33,30,34
317,primis,tincidunt tortor,40,8,3
318,est natoque eget,Proin aliquam consectetuer,40,58,43
319,nascetur rhoncus,Nunc Aliquam,15,19,36
320,amet hymenaeos,tincidunt,29,56,16
321,adipiscing in mi,Praesent rutrum,19,38,7
322,fringilla,lorem,37,1,11
323,primis natoque taciti,purus fringilla enim,9,26,31
324,dignissim conubia,euismod tincidunt,29,0,29
325,mollis,mi Vivamus,31,55,3
326,viverra sociis,ullamcorper,47,4,24
327,euismod,cubilia scelerisque Etiam,47,39,48
328,lectus,sodales,36,10,16
329,eleifend,fames in,36,31,46
330,pellentesque,primis,3,15,23
331,mus Duis,euismod porttitor,17,22,40
332,Mauris,varius,9,22,12
333,magnis Nulla Aenean,accumsan malesuada,45,60,48
334,natoque ac,gravida ad cursus,13,26,8
335,placerat Maecenas,Nunc Nullam,22,33,12
336,hymenaeos nascetur,ullamcorper Curae,24,60,19
337,Fusce tellus at,libero interdum,17,8,40
338,litora sociis aliquam,ullamcorper natoque,47,34,4
339,eros primis a,lectus,6,34,41
340,nisl nec,molestie placerat quis,45,28,8
341,taciti malesuada,nascetur Nullam convallis,7,48,30
342,eget nunc,bibendum viverra lorem,39,31,33
343,mus volutpat lacinia,cubilia,40,10,31
344,Donec magna penatibus,nostra consectetuer,7,25,27
345,fringilla natoque malesuada,ac ligula,49,23,15
346,vehicula molestie,quam,9,30,12
347,leo,ridiculus nonummy mauris,46,2,28
348,bibendum placerat,primis lobortis,12,7,44
349,viverra Lorem,sapien,18,19,39
350,In molestie,primis imperdiet,4,26,12
351,fames,montes rhoncus,30,26,24
352,est,velit,4,45,0
353,non taciti,interdum,7,59,12
354,Proin euismod vitae,suscipit,31,21,40
355,Nam,mus Nam,29,45,2
356,Aenean dui,Nam fames,35,16,8
357,amet odio Nulla,ornare Suspendisse Etiam,16,23,17
358,Donec,feugiat porttitor sit,46,45,34
359,Cras mattis,quis Nam,13,3,48
360,molestie nisi Suspendisse,ornare eros,42,28,8
361,tincidunt Duis,tristique nisi euismod,0,10,42
362,Ut Suspendisse,posuere leo,23,51,27
363,cursus,inceptos Curabitur erat,31,33,2
364,facilisis auctor sociosqu,adipiscing mi,1,30,44
365,tellus,sodales posuere mollis,44,45,49
366,neque condimentum,nonummy vestibulum,46,26,48
367,magna eros,lacus enim,26,24,6
368,Nullam consectetuer feugiat,metus ad,38,20,6
369,libero mus,Quisque,19,46,17
370,aptent primis,In,11,41,22
371,pharetra egestas,vel hymenaeos,32,54,46
372,turpis metus,netus lobortis Integer,28,7,22
373,sem volutpat,purus,29,58,6
374,lacinia,inceptos justo amet,0,2,28
375,Aenean,eleifend sociosqu,42,54,28
376,sociis,augue faucibus,40,21,4
377,nisl,euismod leo,1,21,37
378,per,dictum dui,14,56,35
379,per,suscipit,4,38,43
380,Aliquam montes,pretium,14,3,23
381,nisl,quam,6,40,49
382,felis,Fusce Etiam,12,31,44
383,vitae molestie,et justo nonummy,30,36,39
384,pede,Aliquam euismod,6,10,18
385,dui pellentesque,nibh aptent tempor,30,35,40
386,ornare vehicula placerat,ligula sollicitudin,50,21,6
387,elementum enim,fringilla,42,40,3
388,erat magna tempor,natoque sodales in,49,5,24
389,blandit euismod,Curabitur sodales sem,3,10,4
390,torquent,eros Ut,28,45,47
391,Mauris,vitae,41,41,34
392,Aenean est magna,faucibus euismod,16,30,38
393,dolor lectus,eleifend,46,7,35
394,Morbi,ornare eleifend,46,9,0
395,Cras Nunc,Maecenas metus diam,31,59,1
396,Maecenas dui,Proin lorem,10,34,36
397,dis,Curabitur,8,19,8
398,id Vivamus pharetra,orci consectetuer,11,19,4
399,risus sociis,egestas amet faucibus,36,36,31
400,Nunc,at fermentum Duis,37,32,37
401,lorem massa,nulla,4,60,17
402,commodo vehicula at,ad,2,28,25
403,consequat primis,porta laoreet Suspendisse,4,53,23
404,Lorem per,mollis,49,55,11
405,volutpat cubilia,natoque pretium varius,25,43,14
406,vehicula Nam,sapien interdum,22,22,17
407,Duis egestas a,luctus egestas,39,51,3
408,vitae nascetur ligula,orci,43,27,38
409,Praesent ultrices,erat,47,50,1
410,interdum,pede,34,59,13
411,augue,torquent,39,41,39
412,Nullam porta id,elementum eu,28,42,20
413,primis Mauris cubilia,ridiculus Sed,19,43,1
414,dapibus aliquam,nibh felis posuere,48,18,37
415,Aenean non,convallis,31,36,9
416,taciti,leo tincidunt eu,35,48,9
417,Proin Aenean,feugiat dolor,18,11,9
418,dolor Class inceptos,tellus,36,25,15
419,natoque,Curae,10,6,16
420,malesuada dis,vulputate,38,55,24
421,ut vehicula,turpis sollicitudin dignissim,25,33,47
422,Curabitur ut mus,lacus Mauris nulla,9,0,12
423,nunc,pretium Nullam,1,23,7
424,montes augue sit,faucibus Fusce,12,6,35
425,morbi,inceptos tincidunt odio,21,10,12
426,facilisi,vel,46,46,25
427,lacinia,sagittis ut laoreet,7,26,13
428,bibendum,dui Praesent,17,4,48
429,ullamcorper Aliquam Proin,ad condimentum,33,10,37
430,metus aliquet,est,29,54,3
431,est Aliquam nulla,lobortis,45,57,9
432,imperdiet viverra massa,hendrerit,46,7,45
433,magna,enim porta euismod,49,46,21
434,consectetuer,facilisi,43,11,15
435,vulputate iaculis convallis,Donec tempor,34,15,18
436,diam,felis aliquet,24,22,5
437,morbi,Aenean Class lacinia,15,38,18
438,ut at sem,consectetuer ut,38,24,18
439,sagittis tristique,eleifend taciti,38,52,31
440,fames lectus,Nullam conubia pede,41,38,2
441,ac ad,vehicula consectetuer,3,50,17
442,consequat,Proin congue condimentum,34,6,11
443,libero cursus,posuere cubilia,39,52,43
444,arcu tincidunt In,luctus,12,33,29
445,Vivamus,sociis consectetuer,47,26,34
446,erat arcu,Phasellus viverra Nunc,7,44,6
447,nibh ridiculus,Quisque,18,56,43
448,feugiat,laoreet rutrum,2,26,39
449,In faucibus orci,Maecenas in consequat,13,49,12
450,felis orci,quam,29,53,31
451,diam,diam ante,50,22,29
452,nec taciti neque,consequat,36,3,12
453,placerat pharetra,pulvinar sagittis,47,5,9
454,dui sociosqu,ipsum,0,16,47
455,placerat,Ut dapibus,35,28,45
456,ligula,Nulla,7,44,17
457,sit,metus,38,54,37
458,Nam pharetra Sed,aptent nascetur sed,8,25,6
459,Nam mollis,netus eget,36,31,39
460,Duis laoreet sodales,Suspendisse,36,9,30
461,bibendum bibendum,Fusce,42,27,27
462,habitant Vestibulum iaculis,In,50,39,28
463,ad dictum,consequat,37,48,0
464,viverra vitae sociis,eleifend Morbi eu,38,19,11
465,Vivamus magnis,Quisque,11,56,6
466,Sed neque condimentum,erat,30,28,5
467,sit leo,Aenean,20,20,33
468,nulla quis Morbi,elit Nullam tristique,31,44,26
469,mus tellus,urna rhoncus,23,6,32
470,nec elit pulvinar,vestibulum,30,29,3
471,ultrices,turpis eleifend,6,22,6
472,auctor libero,elementum varius,17,22,23
473,natoque Fusce Fusce,porttitor,12,15,13
474,eros dignissim,nibh,17,47,40
475,blandit Mauris,gravida Fusce,18,34,10
476,Nunc faucibus tortor,pharetra Aliquam,28,47,6
477,vestibulum Maecenas libero,Morbi molestie Morbi,11,53,44
478,amet varius,senectus dignissim,41,56,16
479,turpis diam,purus,34,55,23
480,mattis risus,Cum,32,5,26
481,quis Mauris,gravida Vivamus ut,19,19,25
482,id dui,Nullam interdum primis,36,17,47
483,penatibus odio,magnis vulputate,29,6,29
484,malesuada natoque sapien,In congue,10,21,23
485,elit,lectus Aliquam,39,55,31
486,imperdiet quis neque,ultrices,46,14,7
487,vulputate convallis urna,Lorem ligula amet,38,59,47
488,euismod lorem cubilia,vestibulum Ut,47,51,2
489,nonummy,torquent,21,7,34
490,non in,parturient malesuada,16,42,27
491,Curabitur natoque,venenatis nunc lorem,41,28,30
492,litora egestas sagittis,nibh dui,15,45,47
493,libero pede,ante,40,38,20
494,Nulla habitant,Fusce malesuada egestas,8,46,18
495,Maecenas Nullam auctor,dolor,34,54,15
496,euismod justo,ipsum elit sociosqu,26,11,32
497,id aliquet,vestibulum,3,24,31
498,luctus primis feugiat,taciti diam,42,16,37
499,fermentum nascetur,urna,16,12,31
500,semper sodales tempor,pede porta,27,8,32
501,consequat parturient Curae,amet sagittis,4,39,18
502,dis aptent,rhoncus mi mus,47,18,48
503,cursus litora,est In mus,43,4,25
504,sapien mauris interdum,nunc arcu ligula,26,47,25
505,leo cubilia fames,Ut,28,19,32
506,Nunc hendrerit,mollis luctus pede,1,9,47
507,rhoncus nulla,massa Maecenas Ut,27,49,2
508,eros mus tellus,at,5,22,35
509,pellentesque arcu aliquet,vitae Sed adipiscing,5,1,30
510,torquent In hymenaeos,condimentum,39,2,44
511,lacinia nulla,porttitor,39,40,1
512,eros non,sed,8,1,35
513,arcu condimentum fermentum,dictum Etiam luctus,25,58,48
514,rutrum pretium litora,placerat ligula,18,26,23
515,augue consequat adipiscing,porta,34,27,21
516,sapien sapien Pellentesque,fermentum Vivamus Nullam,47,53,21
517,dui,ipsum netus mauris,41,39,28
518,cubilia netus,parturient ultricies habitant,1,20,19
519,Nam,in risus,19,49,36
520,convallis sagittis aliquet,quis tristique ornare,18,33,23
521,Quisque Proin,hymenaeos,7,23,33
522,placerat at pretium,pede nunc,33,39,26
523,senectus,mus,5,25,29
524,enim mus,Vestibulum sapien,16,51,49
525,ridiculus venenatis Fusce,magnis viverra a,7,3,45
526,tempor,Proin congue,37,1,0
527,ullamcorper urna euismod,risus,11,27,9
528,dis vulputate,ad facilisis Praesent,7,50,20
529,facilisi libero,vehicula Aenean dictum,30,21,45
530,posuere Vivamus,lacinia tempus,16,30,20
531,ridiculus tortor,imperdiet,8,37,24
532,nisl Aliquam,magnis,37,6,8
533,Integer,magna,42,12,9
534,nascetur mattis augue,Fusce et Morbi,16,50,47
535,in odio vitae,egestas lacus,43,1,26
536,Etiam hendrerit Maecenas,nunc,35,28,11
537,lectus fringilla fringilla,augue hendrerit vehicula,43,60,47
538,Proin,cubilia,5,36,35
539,adipiscing blandit nunc,Phasellus,24,27,26
540,penatibus elit lacus,vehicula massa blandit,23,11,29
541,inceptos pretium pharetra,lectus,9,50,16
542,Suspendisse justo,odio,11,26,29
543,varius nonummy,parturient vehicula iaculis,9,13,38
544,facilisi porta,elit Curabitur,18,55,32
545,dignissim non Suspendisse,morbi massa,37,15,14
546,dolor,Etiam vestibulum,4,13,32
547,lacinia sodales,est nisi,41,19,15
548,habitant mus,conubia litora Pellentesque,45,17,41
549,interdum aptent,mollis,49,55,4
550,molestie,sagittis per hendrerit,31,39,34
551,Fusce vestibulum mollis,accumsan lacinia magna,19,48,24
552,dignissim,semper,5,5,20
553,hymenaeos inceptos,commodo suscipit,11,12,6
554,vestibulum eleifend nunc,montes,44,16,49
555,lectus,felis,16,59,49
556,malesuada lectus ad,pede,21,16,10
557,eget,lectus nunc Cras,17,6,11
558,lectus aliquet,sed,22,32,49
559,blandit,pharetra ridiculus iaculis,17,55,10
560,ac rutrum eros,a cubilia semper,9,52,36
561,montes bibendum,metus Praesent montes,19,53,34
562,Nunc facilisis,vestibulum conubia,26,19,9
563,Lorem mi,lacinia senectus cursus,39,1,44
564,luctus,fringilla magnis,1,6,8
565,Suspendisse,Nullam quis,22,20,20
566,imperdiet quam,dis taciti,2,15,19
567,commodo,ultricies diam Cras,13,3,42
568,id,In turpis,20,14,36
569,nisi sit semper,hendrerit mus blandit,45,52,33
570,mauris Donec,nibh dictum,3,8,46
571,mauris,leo amet Maecenas,3,23,31
572,ac turpis,inceptos magnis Quisque,18,55,47
573,facilisis,fermentum tristique aliquet,33,20,12
574,Cum dolor at,eget Nunc,13,6,45
575,commodo Cum Duis,Maecenas Morbi Class,20,55,27
576,gravida,ipsum morbi neque,8,49,18
577,libero scelerisque,consectetuer,21,4,10
578,cubilia,orci,13,38,39
579,diam interdum vehicula,non ante neque,44,46,3
580,Nam Integer,odio varius,32,49,34
581,nunc,Curae,45,25,23
582,suscipit mattis magna,orci dignissim,36,47,36
583,Vestibulum imperdiet nibh,purus,28,37,36
584,ipsum,metus eros,44,55,46
585,malesuada ante,massa primis sapien,6,5,29
586,viverra litora,mus volutpat id,44,5,45
587,mollis eu rutrum,Nam pulvinar,0,58,25
588,laoreet,Proin mattis posuere,11,44,37
589,Integer,scelerisque,30,55,38
590,suscipit ut eu,varius Donec,12,9,34
591,Cras aliquet,Curae magnis,33,7,13
592,sem,Curae,8,48,2
593,luctus,eleifend quam,9,40,7
594,vel netus Vivamus,Ut Class hymenaeos,27,29,23
595,mollis Lorem dolor,Donec dapibus,37,14,16
596,vulputate adipiscing Suspendisse,nec lacinia accumsan,19,8,20
597,vitae eu,nibh fermentum,28,60,2
598,ullamcorper enim,feugiat mattis vulputate,34,8,6
599,fames ligula odio,mattis massa amet,2,49,0
600,pulvinar nec,porttitor ultricies,21,53,20
601,Aenean Ut,mollis habitant,8,28,21
602,aptent egestas sed,ridiculus aliquet,33,37,31
603,primis,lacus sodales,9,35,26
604,Phasellus,risus ornare porta,21,33,18
605,vitae viverra Donec,dolor non lobortis,5,42,29
606,dignissim elementum,senectus imperdiet,13,49,20
607,mollis Morbi sollicitudin,auctor lobortis sit,9,36,20
608,aliquet Maecenas,scelerisque adipiscing,12,59,1
609,netus imperdiet lacinia,Integer mattis,26,7,44
610,felis consectetuer mus,tortor luctus porta,50,28,47
